"","disp_key","rpt_date","submit_number","facility_no","field_pool","opno","dis_sold","dis_reinject","flare_gtr","flare_lt","pilot_purge","assist_gas","used","d_other","tr_from","tr_to","ng_leq","purch_gas","amnd_rpt","cmmnt","dt_mod"
"5938",43897,"07/01/16 00:00:00",1330000028,18,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","08/24/16 09:06:04"
"5939",43898,"07/01/16 00:00:00",1330000020,37,0,124250,55721,0,0,3133,3457,0,47536,0,138,-2743,0,0,0,"","08/24/16 09:06:04"
"5940",43899,"07/01/16 00:00:00",1330000018,15,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","08/24/16 09:06:04"
"5941",43900,"07/01/16 00:00:00",1330000017,32,0,124250,0,0,0,0,0,0,0,0,0,0,0,540,0,"","08/24/16 09:06:04"
"5942",43901,"07/01/16 00:00:00",1330000030,42,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","08/24/16 09:06:04"
"5943",43902,"07/01/16 00:00:00",1330000023,38,0,124250,0,0,0,6890,186,0,69610,0,50034,0,0,0,0,"","08/24/16 09:06:04"
"5944",43903,"07/01/16 00:00:00",1330000025,38,0,124250,287281,0,0,30,6379,0,108643,0,0,-202181,0,0,0,"","08/24/16 09:06:04"
"5945",43904,"07/01/16 00:00:00",1330000080,13,0,124250,0,1269841,0,0,0,0,0,0,0,0,0,55233,0,"","08/24/16 09:06:41"
"5946",43905,"07/01/16 00:00:00",1330000036,16,0,124250,0,0,0,0,0,0,0,0,0,0,0,177,0,"","08/24/16 09:06:41"
"5947",43906,"07/01/16 00:00:00",1330000041,55,0,124250,0,0,0,0,0,0,0,0,0,0,0,0,0,"","08/24/16 09:06:41"
